,count,mean,std,min,25%,50%,75%,max,missing_%
temp_error_c,2382.0,0.1138119227539882,1.5242427892333417,-7.0,-0.6000000000000014,0.09999999999999964,0.8000000000000007,6.600000000000001,13.758146270818248
wind_error_kmh,2382.0,-0.8736356003358522,5.454451319043065,-17.4,-4.8,-1.2000000000000002,2.9000000000000004,17.9,13.758146270818248
rh_error_pct,2382.0,0.7974391267842149,9.714823131857477,-51.0,-5.0,1.0,7.0,35.0,13.758146270818248
dewpoint_error_c,2382.0,1.0637699412258605,2.647888966510899,-10.8,-0.6000000000000014,0.5999999999999996,2.2,13.3,13.758146270818248
pressure_error_hpa,2275.0,-3.9919912087912115,4.433604736395188,-10.659999999999968,-6.810000000000002,-5.419999999999959,-2.060000000000059,8.259999999999991,17.632150615496016
gust_error_kmh,2382.0,-4.046683459277918,9.713675565194563,-43.2,-9.3,-3.3000000000000007,1.8999999999999986,31.6,13.758146270818248
winddir_error_deg,2382.0,-11.761335012594458,81.13919464465243,-354.0,-25.0,-11.0,3.0,356.0,13.758146270818248
rain_error_mm,2382.0,0.39473971452560874,1.607625621224979,-4.8,0.0,0.0,0.0,12.95,13.758146270818248
uv_target,2595.0,0.7001926782273603,1.0556507827130936,0.0,0.0,0.0,1.0,4.0,6.046343229543809
